Source	ISIN	ISIN Name	Type	Qty	MktPrice	Total	Statement Date
NSDL	INE021A01026	ASIAN PAINTS LIMITED EQ NEW FV Re. 1/-	S	28	2335.95	65406.6	4-Jan-25
NSDL	INF846K01DP8	AXIS MUTUAL FUND BLUECHIP FD DIRECT GROWTH OPEN ENDED	MF	2309.13	68.14	157344.1182	4-Jan-25
NSDL	INE486A01021	CESC LIMITED EQ NEW FV Re. 1/-	S	200	185.9	37180	4-Jan-25
NSDL	INE016A01026	DABUR INDIA LIMITED EQ F.V. RE.1	S	72	524.9	37792.8	4-Jan-25
NSDL	INE066A01021	EICHER MOTORS LIMITED EQ NEW FV RE. 1/-	S	26	5310.75	138079.5	4-Jan-25
NSDL	IN0020200161	GOVERNMENT OF INDIA SGB 11AG28 S V 2.50 FV RS 5334	ETF	20	8155.86	163117.2	4-Jan-25
NSDL	INE040A01034	HDFC BANK LIMITED EQ NEW FV RE. 1/-	S	26	1749.2	45479.2	4-Jan-25
NSDL	INE030A01027	HINDUSTAN UNILEVER LIMITED EQ F.V. RS 1	S	13	2406.25	31281.25	4-Jan-25
NSDL	INF109KC1NT3	ICICI PRUDENTIAL MUTUAL FUND MUTUAL FUND GOLD EXCHANGE TRADED FD OP	MF	2050	67.07	137493.5	4-Jan-25
NSDL	INF109K012R6	ICICI PRUDENTIAL MUTUAL FUND NIFTY ETF OPEN ENDED	ETF	991	266.87	264468.17	4-Jan-25
NSDL	INE242A01010	INDIAN OIL CORPORATION LIMITED EQ	S	1050	138.14	145047	4-Jan-25
NSDL	INE009A01021	INFOSYS LIMITED EQ FV RS 5	S	34	1938.75	65917.5	4-Jan-25
NSDL	INE758E01017	JIO FINANCIAL SERVICES LIMITED EQ	S	14	307.45	4304.3	4-Jan-25
NSDL	INF174K01DS9	KOTAK MAHINDRA MUTUAL FUND EMERGING EQUITY SCHEME GROWTH OPTION OPEN	MF	2226.43	136.006	302807.8386	4-Jan-25
NSDL	INF769K01HF4	MIRAE ASSET MUTUAL FUND MIRAE ASSET NYSE FANG + ETF	ETF	50	141.44	7072	4-Jan-25
NSDL	INE585A01020	NAPEROL INVESTMENTS LIMITED EQ NEW FV RS.10/-	S	5	1211.45	6057.25	4-Jan-25
NSDL	INE0PO601011	NATIONAL PEROXIDE LIMITED EQ	S	5	833.95	4169.75	4-Jan-25
NSDL	INE239A01024	NESTLE INDIA LIMITED EQ NEW FV RE 1/-	S	102	2232.7	227735.4	4-Jan-25
NSDL	INE848E01016	NHPC LIMITED EQ	S	800	83.09	66472	4-Jan-25
NSDL	INE733E01010	NTPC LIMITED EQ	S	150	339.85	50977.5	4-Jan-25
NSDL	INE318A01026	PIDILITE INDUSTRIES LIMITED EQ NEW FV RE.1/-	S	34	2932.35	99699.9	4-Jan-25
NSDL	INF879O01019	PPFAS MUTUAL FUND PARAG PARIKH FLEXICAP FUND REG GROWTH	MF	4703.31	81.9723	385541.1383	4-Jan-25
NSDL	INE002A01018	RELIANCE INDUSTRIES LIMITED EQ	S	52	1251.15	65059.8	4-Jan-25
NSDL	INE425Y01011	RPSG VENTURES LIMITED EQ	S	4	1168.1	4672.4	4-Jan-25
NSDL	INE803H01014	RUCHIRA PAPERS LIMITED EQ	S	33	132.05	4357.65	4-Jan-25
NSDL	INE020801028	SPENCER'S RETAIL LIMITED EQ NEW FV RS. 5/-	S	12	89.87	1078.44	4-Jan-25
NSDL	INE467B01029	TATA CONSULTANCY SERVICES LIMITED EQ NEW FV RE.1/-	S	17	4099.9	69698.3	4-Jan-25
